Jahr,Punkte,Team,Wert
2010,69,FC Basel,59.93
2010,42,FC Sion,36.35
2010,84,BSC Young Boys,25.45
2010,39,Grasshoppers,23.2
2010,45,FC St. Gallen,20.63
2010,35,Lausanne-Sport,19.1
2010,54,FC Luzern,15.73
2010,42,FC Lugano,15.6
2010,49,FC Zürich,15.05
2010,42,FC Thun,12.93
2011,69,FC Basel,59.93
2011,42,FC Sion,36.35
2011,84,BSC Young Boys,25.45
2011,39,Grasshoppers,23.2
2011,45,FC St. Gallen,20.63
2011,35,Lausanne-Sport,19.1
2011,54,FC Luzern,15.73
2011,42,FC Lugano,15.6
2011,49,FC Zürich,15.05
2011,42,FC Thun,12.93
2012,69,FC Basel,59.93
2012,42,FC Sion,36.35
2012,84,BSC Young Boys,25.45
2012,39,Grasshoppers,23.2
2012,45,FC St. Gallen,20.63
2012,35,Lausanne-Sport,19.1
2012,54,FC Luzern,15.73
2012,42,FC Lugano,15.6
2012,49,FC Zürich,15.05
2012,42,FC Thun,12.93
2013,69,FC Basel,59.93
2013,42,FC Sion,36.35
2013,84,BSC Young Boys,25.45
2013,39,Grasshoppers,23.2
2013,45,FC St. Gallen,20.63
2013,35,Lausanne-Sport,19.1
2013,54,FC Luzern,15.73
2013,42,FC Lugano,15.6
2013,49,FC Zürich,15.05
2013,42,FC Thun,12.93
2014,69,FC Basel,59.93
2014,42,FC Sion,36.35
2014,84,BSC Young Boys,25.45
2014,39,Grasshoppers,23.2
2014,45,FC St. Gallen,20.63
2014,35,Lausanne-Sport,19.1
2014,54,FC Luzern,15.73
2014,42,FC Lugano,15.6
2014,49,FC Zürich,15.05
2014,42,FC Thun,12.93
2015,69,FC Basel,59.93
2015,42,FC Sion,36.35
2015,84,BSC Young Boys,25.45
2015,39,Grasshoppers,23.2
2015,45,FC St. Gallen,20.63
2015,35,Lausanne-Sport,19.1
2015,54,FC Luzern,15.73
2015,42,FC Lugano,15.6
2015,49,FC Zürich,15.05
2015,42,FC Thun,12.93
2016,69,FC Basel,59.93
2016,42,FC Sion,36.35
2016,84,BSC Young Boys,25.45
2016,39,Grasshoppers,23.2
2016,45,FC St. Gallen,20.63
2016,35,Lausanne-Sport,19.1
2016,54,FC Luzern,15.73
2016,42,FC Lugano,15.6
2016,49,FC Zürich,15.05
2016,42,FC Thun,12.93
2017,69,FC Basel,59.93
2017,42,FC Sion,36.35
2017,84,BSC Young Boys,25.45
2017,39,Grasshoppers,23.2
2017,45,FC St. Gallen,20.63
2017,35,Lausanne-Sport,19.1
2017,54,FC Luzern,15.73
2017,42,FC Lugano,15.6
2017,49,FC Zürich,15.05
2017,42,FC Thun,12.93
