,Punkte,Team,Wert
0,69,FC Basel,59.93
1,42,FC Sion,36.35
2,84,BSC Young Boys,25.45
3,39,Grasshoppers,23.2
4,45,FC St. Gallen,20.63
5,35,Lausanne-Sport,19.1
6,54,FC Luzern,15.73
7,42,FC Lugano,15.6
8,49,FC Zürich,15.05
9,42,FC Thun,12.93
10,69,FC Basel,59.93
11,42,FC Sion,36.35
12,84,BSC Young Boys,25.45
13,39,Grasshoppers,23.2
14,45,FC St. Gallen,20.63
15,35,Lausanne-Sport,19.1
16,54,FC Luzern,15.73
17,42,FC Lugano,15.6
18,49,FC Zürich,15.05
19,42,FC Thun,12.93
20,69,FC Basel,59.93
21,42,FC Sion,36.35
22,84,BSC Young Boys,25.45
23,39,Grasshoppers,23.2
24,45,FC St. Gallen,20.63
25,35,Lausanne-Sport,19.1
26,54,FC Luzern,15.73
27,42,FC Lugano,15.6
28,49,FC Zürich,15.05
29,42,FC Thun,12.93
30,69,FC Basel,59.93
31,42,FC Sion,36.35
32,84,BSC Young Boys,25.45
33,39,Grasshoppers,23.2
34,45,FC St. Gallen,20.63
35,35,Lausanne-Sport,19.1
36,54,FC Luzern,15.73
37,42,FC Lugano,15.6
38,49,FC Zürich,15.05
39,42,FC Thun,12.93
40,69,FC Basel,59.93
41,42,FC Sion,36.35
42,84,BSC Young Boys,25.45
43,39,Grasshoppers,23.2
44,45,FC St. Gallen,20.63
45,35,Lausanne-Sport,19.1
46,54,FC Luzern,15.73
47,42,FC Lugano,15.6
48,49,FC Zürich,15.05
49,42,FC Thun,12.93
50,69,FC Basel,59.93
51,42,FC Sion,36.35
52,84,BSC Young Boys,25.45
53,39,Grasshoppers,23.2
54,45,FC St. Gallen,20.63
55,35,Lausanne-Sport,19.1
56,54,FC Luzern,15.73
57,42,FC Lugano,15.6
58,49,FC Zürich,15.05
59,42,FC Thun,12.93
60,69,FC Basel,59.93
61,42,FC Sion,36.35
62,84,BSC Young Boys,25.45
63,39,Grasshoppers,23.2
64,45,FC St. Gallen,20.63
65,35,Lausanne-Sport,19.1
66,54,FC Luzern,15.73
67,42,FC Lugano,15.6
68,49,FC Zürich,15.05
69,42,FC Thun,12.93
70,69,FC Basel,59.93
71,42,FC Sion,36.35
72,84,BSC Young Boys,25.45
73,39,Grasshoppers,23.2
74,45,FC St. Gallen,20.63
75,35,Lausanne-Sport,19.1
76,54,FC Luzern,15.73
77,42,FC Lugano,15.6
78,49,FC Zürich,15.05
79,42,FC Thun,12.93
