"6";"1000-000006";"Katalog der datierten Handschriften in der Schweiz";"";"Burckhardt Max";"Project funding (Div. I-III)";"Project funding";"Abt. Handschriften und Alte Drucke Bibliothek der Universität Basel";"Switzerland";"University of Basel - BS";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.10.1975";"30.09.1976";"52627.00";""
"19";"1000-000019";"Das Ringen um soziale Sicherheit in der Schweiz";"";"Borner Silvio";"Project funding (Div. I-III)";"Project funding";"Institut für Volkswirtschaft WWZ / FGS Universität Basel";"Switzerland";"University of Basel - BS";"10203";"Economics";"Humanities and Social Sciences;Economics, law";"10203";"01.10.1975";"31.12.1978";"112664.00";""
"42";"1000-000042";"Llibre del Consolat de Mar. Kritische Ausgabe";"";"Colon German";"Project funding (Div. I-III)";"Project funding";"Institut für Iberoromanistik Universität Basel";"Switzerland";"University of Basel - BS";"10502";"Romance languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10502";"01.10.1975";"30.09.1976";"19134.00";""
"43";"1000-000043";"Monographie über den Zeichner Emanuel Büchel (1705-1775)";"";"Historische und Antiquarische Gesellschaft zu Basel";"Project funding (Div. I-III)";"Project funding";"Historische und Antiquarische Gesellschaft zu Basel";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"10404";"Visual arts and Art history";"Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture";"10404";"01.10.1975";"30.09.1976";"54509.00";""
"57";"1000-000057";"Edition der Amerbach-Korrespondenz";"";"Gröbli Fredy";"Project funding (Div. I-III)";"Project funding";"Universitätsbibliothek Basel Pressestelle";"Switzerland";"University of Basel - BS";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.10.1975";"31.03.1977";"64279.00";""
"58";"1000-000058";"Bearbeitung ägyptischer Gräber und Grabbeigaben";"";"Hornung Erik";"Project funding (Div. I-III)";"Project funding";"Ägyptologisches Seminar Departement Altertumswissenschaften Universität Basel";"Switzerland";"University of Basel - BS";"10402";"Archaeology";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10402";"01.12.1975";"30.09.1979";"71884.00";""
"61";"1000-000061";"Geschichte der griechischen Sagenbilder";"";"Schefold Karl";"Project funding (Div. I-III)";"Project funding";"Klassische Archäologie Departement Altertumswissenschaft Universität Basel";"Switzerland";"University of Basel - BS";"10402";"Archaeology";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10402";"01.12.1975";"30.11.1977";"29382.00";""
"127";"1000-000127";"Auswertung ethnologischen Feldmaterials aus dem Sepik- Gebiet Neuguineas (im Hinblick auf die Veröffentlichung)";"";"Schuster Meinhard";"Project funding (Div. I-III)";"Project funding";"Ethnologisches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10403";"Ethnology";"Humanities and Social Sciences;Ethnology, social and human geography";"10403";"01.08.1976";"31.07.1980";"52568.00";""
"131";"1000-000131";"Englisch-deutsche Studienausgabe der Dramen Shakespeares";"";"Stamm Rudolf";"Project funding (Div. I-III)";"Project funding";"Englisches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10501";"German and English languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10501";"01.04.1976";"31.03.1978";"161225.00";""
"177";"1000-000177";"Katalog der datierten Handschriften in der Schweiz";"";"Burckhardt Max";"Project funding (Div. I-III)";"Project funding";"Abt. Handschriften und Alte Drucke Bibliothek der Universität Basel";"Switzerland";"University of Basel - BS";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.10.1976";"30.09.1979";"167255.00";""
"184";"1000-000184";"Helvetia Sacra";"";"Kuratorium der Helvetia Sacra c/o Staatsarchiv Basel";"Project funding (Div. I-III)";"Project funding";"Kuratorium der Helvetia Sacra c/o Staatsarchiv Basel";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.10.1976";"30.09.1978";"544848.00";""
"193";"1000-000193";"Die Anfänge von Augusta Raurica (AAR)";"";"Tomasevic Teodora";"Project funding (Div. I-III)";"Project funding";"Archäologie und Kantonsmuseum Kanton Basel-Landschaft Regierungsgebäude";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"10401";"Prehistory";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10401";"01.01.1977";"31.12.1978";"30000.00";""
"245";"1000-000245";"Tempus und Textkonstitution, unter besonderer Berücksichtigung des Spanischen";"";"Colon German";"Project funding (Div. I-III)";"Project funding";"Institut für Iberoromanistik Universität Basel";"Switzerland";"University of Basel - BS";"10502";"Romance languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10502";"01.04.1977";"31.03.1980";"78730.00";""
"263";"1000-000263";"Edition der Amerbach-Korrespondenz";"";"Gröbli Fredy";"Project funding (Div. I-III)";"Project funding";"Universitätsbibliothek Basel Pressestelle";"Switzerland";"University of Basel - BS";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.04.1977";"31.03.1980";"107760.00";""
"277";"1000-000277";"Alamannisches Gräberfeld Basel-Kleinhüningen";"";"Moosbrugger Rudolf";"Project funding (Div. I-III)";"Project funding";"Archäologische Bodenforschung des Kantons Basel-Stadt";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"10401";"Prehistory";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10401";"01.04.1977";"31.12.1980";"147229.00";""
"289";"1000-000289";"Kommentar zum schweizerischen Arbeitsvertragsrecht. Neuauflage eines Teilbandes des Zürcher Kommentars.";"";"Staehelin Adrian";"Project funding (Div. I-III)";"Project funding";"Appellationsgericht Basel-Stadt";"Switzerland";"University of Basel - BS";"10205";"Legal sciences";"Humanities and Social Sciences;Economics, law";"10205";"01.06.1977";"31.05.1979";"35317.00";""
"337";"1000-000337";"Kommentar zum Arbeitsvertrag, Kommentierung der Art. 356 bis 362 OR in Zürcher Kommentar 3. Auflage";"";"Vischer Frank";"Project funding (Div. I-III)";"Project funding";"Institut für internationales Recht und Internationale Beziehungen";"Switzerland";"University of Basel - BS";"10205";"Legal sciences";"Humanities and Social Sciences;Economics, law";"10205";"01.10.1977";"30.09.1979";"35555.00";""
"349";"1000-000349";"Erforschung der spätkeltisch-frührömischen Uebergangszeit in Basel (ca. 100 v. bis 50 n.Chr.)";"";"Berger-Haas Ludwig";"Project funding (Div. I-III)";"Project funding";"Seminar für Ur- und Frühgeschichte Universität Basel";"Switzerland";"University of Basel - BS";"10401";"Prehistory";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10401";"01.02.1978";"30.06.1979";"99455.00";""
"421";"1000-000421";"Grundlagenforschung zu Analyse und Geschichte musikalischer Interpretation";"";"Oesch Hans";"Project funding (Div. I-III)";"Project funding";"Musikwissenschaftliches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10405";"Musicology";"Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture";"10405";"01.04.1978";"31.03.1981";"66969.00";""
"425";"1212-000425";"Kulturdokumentation der Iatmul und ihrer Nachbargruppen im Sepik-Gebiet von Neuguinea";"";"Kaufmann Christian";"Project funding (special)";"Project funding";"Ethnologisches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10403";"Ethnology";"Humanities and Social Sciences;Ethnology, social and human geography";"10403";"01.04.1978";"30.09.1981";"282830.00";""
"432";"1000-000432";"Analyse der schweizerischen Stabilisierungspolitik im Lichte der Konjunkturtheorie und der politischen Willensbildung";"";"Borner Silvio";"Project funding (Div. I-III)";"Project funding";"Institut für Volkswirtschaft WWZ / FGS Universität Basel";"Switzerland";"University of Basel - BS";"10203";"Economics";"Humanities and Social Sciences;Economics, law";"10203";"01.04.1978";"30.11.1980";"228536.00";""
"453";"1000-000453";"Englisch-deutsche Studienausgabe der Dramen Shakespeares";"";"Stamm Rudolf";"Project funding (Div. I-III)";"Project funding";"Englisches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10501";"German and English languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10501";"01.04.1978";"31.03.1980";"268104.00";""
"457";"1000-000457";"Traitement et mise en valeur des matériaux ethnographiques recueillis en Afrique occidentale";"";"Boser Renée";"Project funding (Div. I-III)";"Project funding";"Ethnologisches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10403";"Ethnology";"Humanities and Social Sciences;Ethnology, social and human geography";"10403";"01.05.1978";"30.04.1982";"63560.00";""
"464";"1000-000464";"Erforschung und Dokumentation der Kultur der Abelam im nördlichen Sepikbecken, Papau New Guinea";"";"Schuster Meinhard";"Project funding (Div. I-III)";"Project funding";"Ethnologisches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10403";"Ethnology";"Humanities and Social Sciences;Ethnology, social and human geography";"10403";"01.04.1978";"31.03.1982";"105087.00";""
"485";"1112-000485";"Bestandesaufnahme und Edition spätmittelalterlicher deutscher Gebets- und Andachtsbücher in schweizerischen Bibliotheken";"";"Rupp Heinz";"Project funding (special)";"Project funding";"Deutsches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10501";"German and English languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10501";"01.04.1978";"31.03.1981";"107860.00";""
"528";"1000-000528";"Internationaler Kommentar zur Europäischen Menschenrechtskonvention";"";"Wildhaber Luzius";"Project funding (Div. I-III)";"Project funding";"Institut für internationales Recht und Internationale Beziehungen";"Switzerland";"University of Basel - BS";"10205";"Legal sciences";"Humanities and Social Sciences;Economics, law";"10205";"01.10.1978";"30.09.1988";"63618.00";""
"534";"1112-000534";"Helvetia Sacra";"";"Kuratorium der Helvetia Sacra c/o Staatsarchiv Basel";"Project funding (special)";"Project funding";"Kuratorium der Helvetia Sacra c/o Staatsarchiv Basel";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.10.1978";"30.09.1980";"553042.00";""
"548";"1000-000548";"Ulrich Bräker-Chronik aufgrund der Tagebücher; Vervollständigung und redaktionelle Fertigstellung";"";"Pestalozzi Karl";"Project funding (Div. I-III)";"Project funding";"Deutsches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10501";"German and English languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10501";"01.10.1978";"30.09.1979";"52521.00";""
"562";"1000-000562";"Theoretische und empirische Grundlagen der Verteilungspolitik der Schweiz";"";"Frey René L.";"Project funding (Div. I-III)";"Project funding";"Wirtschaftswissenschaftliches Zentrum, WWZ Universität Basel";"Switzerland";"University of Basel - BS";"10203";"Economics";"Humanities and Social Sciences;Economics, law";"10203";"01.10.1978";"31.03.1980";"101767.00";""
"598";"1000-000598";"Corpus Vasorum Antiquorum (Bd. Schweiz 5, Basel 2)";"";"Jucker Hans";"Project funding (Div. I-III)";"Project funding";"Klassische Archäologie Institut für Archäologische Wissenschaften Universität Bern";"Switzerland";"University of Berne - BE";"10402";"Archaeology";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10402";"01.04.1979";"31.12.1980";"79169.00";""
"602";"1000-000602";"Bevölkerungsgeschichte der Schweiz im Ancien Régime";"";"Mattmüller Markus";"Project funding (Div. I-III)";"Project funding";"Departement Geschichte Universität Basel";"Switzerland";"University of Basel - BS";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.08.1979";"31.07.1981";"112924.00";""
"613";"1000-000613";"Kommentar zum schweizerischen Arbeitsvertragsrecht. Neuauflage eines Teilbandes des Zürcher Kommentars";"";"Staehelin Adrian";"Project funding (Div. I-III)";"Project funding";"Appellationsgericht Basel-Stadt";"Switzerland";"University of Basel - BS";"10205";"Legal sciences";"Humanities and Social Sciences;Economics, law";"10205";"01.06.1979";"31.05.1981";"35111.00";""
"620";"1000-000620";"Le Moyen Age des Romantiques français I: Edgar Quinet (1803-1875). Edition, présentation et commentaire de textes";"";"Kopp Robert";"Project funding (Div. I-III)";"Project funding";"Institut für Iberoromanistik Universität Basel";"Switzerland";"University of Basel - BS";"10502";"Romance languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10502";"01.05.1979";"30.04.1980";"44182.00";""
"637";"1000-000637";"Kognitive Prozesse in propositionalen Gedächtnismodellen (Räumliche-visuelle Repräsentationen beim Verstehen von Texten)";"";"Steiner Gerhard";"Project funding (Div. I-III)";"Project funding";"Fakultät für Psychologie Universität Basel";"Switzerland";"University of Basel - BS";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1979";"30.09.1982";"84828.00";""
"652";"1000-000652";"Der syntaktische Einfluss des Lateinischen auf die polnische Literatursprache des 15. und 16. Jahrhunderts";"";"Keller Felix";"Project funding (Div. I-III)";"Project funding";"Slavisches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10502";"Romance languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10502";"01.01.1980";"31.12.1980";"30000.00";""
"684";"1000-000684";"Englisch-deutsche Studienausgabe der Dramen Shakespeares";"";"Stamm Rudolf";"Project funding (Div. I-III)";"Project funding";"Englisches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10501";"German and English languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10501";"01.04.1980";"31.03.1982";"245540.00";""
"715";"1000-000715";"Die Amphoren aus Augst und Kaiseraugst. Ein Beitrag zur römischen Handels- und Kulturgeschichte";"";"Ewald Jürg";"Project funding (Div. I-III)";"Project funding";"Archäologie und Kantonsmuseum Kanton Basel-Landschaft Regierungsgebäude";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"10401";"Prehistory";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10401";"01.04.1980";"31.03.1983";"122740.00";""
"722";"1112-000722";"Edition der Amerbach-Korrespondenz";"";"Gröbli Fredy";"Project funding (special)";"Project funding";"Universitätsbibliothek Basel Pressestelle";"Switzerland";"University of Basel - BS";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.04.1980";"31.03.1983";"112281.00";""
"733";"1212-000733";"Bearbeitung ägyptischer Gräber und Grabbeigaben";"";"Hornung Erik";"Project funding (special)";"Project funding";"Ägyptologisches Seminar Departement Altertumswissenschaften Universität Basel";"Switzerland";"University of Basel - BS";"10402";"Archaeology";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10402";"01.04.1980";"31.03.1983";"216699.00";""
"776";"1000-000776";"Katalog der datierten Handschriften in der Schweiz";"";"Steinmann Martin";"Project funding (Div. I-III)";"Project funding";"Universitätsbibliothek Basel Pressestelle";"Switzerland";"University of Basel - BS";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.10.1979";"30.09.1982";"197609.00";""
"795";"1000-000795";"Basler Wirtschaftsgeschichte des 17. und 18. Jahrhunderts";"";"Bürgin Alfred";"Project funding (Div. I-III)";"Project funding";"Institut für Volkswirtschaft WWZ / FGS Universität Basel";"Switzerland";"University of Basel - BS";"10203";"Economics";"Humanities and Social Sciences;Economics, law";"10203";"01.10.1979";"30.09.1982";"83672.00";""
"798";"1000-000798";"Theoretische und empirische Grundlagen der Verteilungspolitik der Schweiz";"";"Frey René L.";"Project funding (Div. I-III)";"Project funding";"Wirtschaftswissenschaftliches Zentrum, WWZ Universität Basel";"Switzerland";"University of Basel - BS";"10203";"Economics";"Humanities and Social Sciences;Economics, law";"10203";"01.01.1980";"31.12.1981";"133078.00";""
"825";"1000-000825";"Literatur-Lexikon (Bände 7 und 8)";"";"Rupp Heinz";"Project funding (Div. I-III)";"Project funding";"Deutsches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10501";"German and English languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10501";"01.10.1979";"30.09.1980";"37910.00";""
"847";"1000-000847";"Helvetia Sacra";"";"Kuratorium der Helvetia Sacra c/o Staatsarchiv Basel";"Project funding (Div. I-III)";"Project funding";"Kuratorium der Helvetia Sacra c/o Staatsarchiv Basel";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.10.1980";"30.09.1982";"555356.00";""
"853";"1000-000853";"Frohburg, archäologische und historische Forschungen";"";"Meyer Werner";"Project funding (Div. I-III)";"Project funding";"Departement Geschichte Universität Basel";"Switzerland";"University of Basel - BS";"10402";"Archaeology";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10402";"01.07.1981";"30.06.1987";"218961.00";""
"874";"1000-000874";"Landeskundliche Diplomatik: Einsatz graphometrischer Methoden zur Schreiberidentifikation";"";"Marchal Guy Paul";"Project funding (Div. I-III)";"Project funding";"Historisches Seminar Universität Luzern";"Switzerland";"University of Basel - BS";"10301";"General history (without pre-and early history)";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10301";"01.10.1980";"30.09.1981";"10616.00";""
"885";"1000-000885";"Schweizerisches Bundesstaatsrecht";"";"Eichenberger Kurt";"Project funding (Div. I-III)";"Project funding";"Juristische Fakultät Universität Basel";"Switzerland";"University of Basel - BS";"10205";"Legal sciences";"Humanities and Social Sciences;Economics, law";"10205";"01.10.1980";"30.09.1987";"94210.00";""
"946";"1000-000946";"Kommentar zum schweizerischen Arbeitsvertragsrecht. Neuauflage eines Teilbandes des Zürcher Kommentars";"";"Staehelin Adrian";"Project funding (Div. I-III)";"Project funding";"Appellationsgericht Basel-Stadt";"Switzerland";"University of Basel - BS";"10205";"Legal sciences";"Humanities and Social Sciences;Economics, law";"10205";"01.06.1981";"31.05.1983";"46735.00";""
"951";"1000-000951";"Regionale Disparität und räumliche Interaktion in der Grenzregion Mendrisiotto-Lombardei";"";"Gallusser Werner";"Project funding (Div. I-III)";"Project funding";"Departement Geowissenschaften Universität Basel";"Switzerland";"University of Basel - BS";"10203";"Economics";"Humanities and Social Sciences;Economics, law";"10203";"01.04.1981";"31.12.1981";"3717.00";""
"965";"1000-000965";"Visuelles Vorstellen beim Verarbeiten von sprachlicher Information";"";"Steiner Gerhard";"Project funding (Div. I-III)";"Project funding";"Fakultät für Psychologie Universität Basel";"Switzerland";"University of Basel - BS";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.04.1981";"30.09.1982";"133126.00";""
"970";"1000-000970";"Rollenerwartung, Rollenkonflikt und Rollenambiguität im Pflegedienst von Spitälern";"";"Hill Wilhelm";"Project funding (Div. I-III)";"Project funding";"Institut für Betriebswirtschaft Universität Basel";"Switzerland";"University of Basel - BS";"10204";"Science of management";"Humanities and Social Sciences;Economics, law";"10204";"01.11.1981";"31.10.1983";"41871.00";""
"977";"1000-000977";"Archäo-osteologische Auswertung der Tierknochenfunde der neolithischen Ufersiedlungen Zürich-Pressehaus und Zürich-AKAD";"";"Schmid Elisabeth";"Project funding (Div. I-III)";"Project funding";"Seminar für Ur- und Frühgeschichte Universität Basel";"Switzerland";"University of Basel - BS";"10401";"Prehistory";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10401";"01.06.1982";"31.05.1985";"124047.00";""
"1003";"1000-001003";"Anthropologische Untersuchung der menschlichen Skelett- reste aus dem Basler Münster";"";"Ewald Jürg";"Project funding (Div. I-III)";"Project funding";"Archäologie und Kantonsmuseum Kanton Basel-Landschaft Regierungsgebäude";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"10402";"Archaeology";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10402/30204";"01.07.1981";"30.06.1984";"200450.00";""
"1012";"1000-001012";"Bevölkerungsgeschichte der Schweiz im Ancien Régime";"";"Mattmüller Markus";"Project funding (Div. I-III)";"Project funding";"Departement Geschichte Universität Basel";"Switzerland";"University of Basel - BS";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.08.1981";"31.07.1983";"63491.00";""
"1043";"1000-001043";"Aspects du bilinguisme dans le canton de Neuchâtel: approche linguistique des migrations internes et externes.";"";"Lüdi Georges";"Project funding (Div. I-III)";"Project funding";"Institut für Iberoromanistik Universität Basel";"Switzerland";"University of Neuchatel - NE";"10502";"Romance languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10502";"01.10.1981";"30.09.1984";"208950.00";""
"1058";"1000-001058";"Selbsthilfeorganisation Ghanas im Wandel";"";"Debrunner Hans Werner";"Project funding (Div. I-III)";"Project funding";"Institut für Soziologie Universität Basel";"Switzerland";"University of Basel - BS";"10201";"Sociology";"Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health";"10201";"01.10.1981";"30.09.1982";"15586.00";""
"1070";"1000-001070";"Typologische und naturwissenschaftliche Untersuchungen an Rollsiegeln";"";"Stern Willem B.";"Project funding (Div. I-III)";"Project funding";"Mineralogisch-Petrographisches Institut Universität Basel";"Switzerland";"University of Basel - BS";"10402";"Archaeology";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10402";"01.10.1981";"30.09.1982";"96207.00";""
"1073";"1000-001073";"Literatur - Lexikon (Bände 9 + 10)";"";"Rupp Heinz";"Project funding (Div. I-III)";"Project funding";"Deutsches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10501";"German and English languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10501";"01.10.1981";"30.09.1982";"41882.00";""
"1136";"1000-001136";"Cäsar von Arx (1885-1949): Arbeitsstelle für Nachlass- ordnung und Werkausgabe";"";"Kamber Urs Viktor";"Project funding (Div. I-III)";"Project funding";"Deutsches Seminar Universität Basel";"Switzerland";"University of Basel - BS";"10501";"German and English languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10501";"01.03.1983";"31.08.1985";"118130.00";""
"1140";"1000-001140";"Mundart und Hochsprache in der deutschen Schweiz als Problem der Schule und der Kulturpolitik in der viersprachigen Schweiz";"";"Schläpfer Robert";"Project funding (Div. I-III)";"Project funding";"";"";"University of Basel - BS";"10501";"German and English languages and literature";"Humanities and Social Sciences;Linguistics and literature, philosophy";"10501";"01.04.1982";"31.03.1985";"175611.00";""
"1151";"1000-001151";"Untersuchungen zur Rurbanisierung des ländlichen Raumes um Basel";"";"Rohner Jürg";"Project funding (Div. I-III)";"Project funding";"";"";"Unassignable - NA";"10203";"Economics";"Humanities and Social Sciences;Economics, law";"10203";"01.04.1982";"31.03.1983";"28500.00";""
"1153";"1000-001153";"Theoretische und empirische Grundlagen der Verteilungspolitik in der Schweiz";"";"Frey René L.";"Project funding (Div. I-III)";"Project funding";"Wirtschaftswissenschaftliches Zentrum, WWZ Universität Basel";"Switzerland";"University of Basel - BS";"10203";"Economics";"Humanities and Social Sciences;Economics, law";"10203";"01.04.1982";"30.09.1985";"302943.00";""
"1184";"1112-001184";"Helvetia Sacra";"";"Kuratorium der Helvetia Sacra c/o Staatsarchiv Basel";"Project funding (special)";"Project funding";"Kuratorium der Helvetia Sacra c/o Staatsarchiv Basel";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302/10103";"01.10.1982";"30.09.1984";"621665.00";""
"1196";"1000-001196";"Griechische Funde aus dem Eschmun - Heiligtum von Sidon (Libanon)";"";"Stucky Rolf Andreas";"Project funding (Div. I-III)";"Project funding";"Klassische Archäologie Departement Altertumswissenschaft Universität Basel";"Switzerland";"University of Basel - BS";"10402";"Archaeology";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10402";"01.10.1982";"30.04.1988";"117502.00";""
"1273";"1000-001273";"Basler Wirtschaftsgeschichte des 17. und 18. Jahrhunderts";"";"Bürgin Alfred";"Project funding (Div. I-III)";"Project funding";"Institut für Volkswirtschaft WWZ / FGS Universität Basel";"Switzerland";"University of Basel - BS";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.10.1982";"30.09.1983";"34616.00";""
"1282";"1112-001282";"Katalog der datierten Handschriften in der Schweiz";"";"Steinmann Martin";"Project funding (special)";"Project funding";"Universitätsbibliothek Basel Pressestelle";"Switzerland";"University of Basel - BS";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.10.1982";"30.09.1985";"259529.00";""
"1288";"1000-001288";"Spezifische Merkmale und Effekte des visuellen Vorstellens";"";"Steiner Gerhard";"Project funding (Div. I-III)";"Project funding";"Fakultät für Psychologie Universität Basel";"Switzerland";"University of Basel - BS";"10105";"Psychology";"Humanities and Social Sciences;Psychology, educational studies";"10105";"01.10.1982";"30.09.1983";"47596.00";""
"1297";"1000-001297";"Die Landesmutter Helvetia. Vaterländische Symbolik vom 17. Jh. bis zur Gegenwart";"";"Kreis Georg";"Project funding (Div. I-III)";"Project funding";"Europainstitut Universität Basel";"Switzerland";"University of Basel - BS";"10302";"Swiss history";"Humanities and Social Sciences;Theology & religious studies, history, classical studies, archaeology, prehistory and early history";"10302";"01.04.1983";"30.09.1988";"50250.00";""
