"5762";"3100-005762";"Les antigènes de la salive des Tiques (IXODOIDEA) et leur action immunigène chez le lapin";"";"Aeschlimann André";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"30403";"Immunology, Immunopathology";"Biology and Medicine;Experimental Medicine";"30403/30209";"01.10.1975";"30.09.1978";"237869.00";""
"5804";"3100-005804";"Rôle des Diatomées dans l'écologie d'une Tourbière jurassienne";"";"Wuthrich Marguerite";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"University of Neuchatel - NE";"30207";"Ecology";"Biology and Medicine;General Biology";"30207";"01.04.1976";"31.03.1980";"62140.00";""
"5831";"3100-005831";"Etude écologique et biocénotique d'une prairie alpine au Parc national suisse";"";"Wissenschaftliche Nationalpark- Kommission Institut de Zoologie";"Project funding (Div. I-III)";"Project funding";"Wissenschaftliche Nationalpark- Kommission Institut de Zoologie";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"30207";"Ecology";"Biology and Medicine;General Biology";"30207";"01.04.1976";"31.03.1980";"577158.00";""
"5977";"3100-005977";"Eco-éthologie des Mustélinés et influence sur leur com- portement des Helminthes parasites des sinus frontaux";"";"Mermod Claude Phil.";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"University of Neuchatel - NE";"30202";"Zoology";"Biology and Medicine;General Biology";"30202/30207";"01.10.1976";"31.03.1981";"232071.00";""
"6026";"3100-006026";"Physiologie de la reproduction chez les Tiques. Influence de la copulation sur les neurosécrétions et la vitellogenèse";"";"Aeschlimann André";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"30202";"Zoology";"Biology and Medicine;General Biology";"30202";"01.10.1976";"30.09.1977";"25728.00";""
"6214";"3100-006214";"Recherches sur les organes des sens chez les Tiques";"";"Aeschlimann André";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"University of Neuchatel - NE";"30202";"Zoology";"Biology and Medicine;General Biology";"30202";"01.10.1977";"30.09.1981";"278010.00";""
"6402";"3100-006402";"Recherches sur les tiques (IXODOIDEA)";"";"Aeschlimann André";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"University of Neuchatel - NE";"30202";"Zoology";"Biology and Medicine;General Biology";"30202";"01.10.1978";"30.09.1981";"753114.00";""
"6424";"3100-006424";"Ecologie comparée de Tabanides en plaine et en montagne: conditions de vie larvaire et ressources énergétiques des adultes";"";"Matthey Willy";"Project funding (Div. I-III)";"Project funding";"Institut de Zoologie Faculté des Sciences Université de Neuchâtel";"Switzerland";"University of Neuchatel - NE";"30207";"Ecology";"Biology and Medicine;General Biology";"30207";"01.10.1978";"30.09.1981";"170445.00";""
"6776";"3100-006776";"Etude écologique et biocénotique d'une pelouse alpine au Parc national suisse";"";"Wissenschaftliche Nationalpark- Kommission Institut de Zoologie";"Project funding (Div. I-III)";"Project funding";"Wissenschaftliche Nationalpark- Kommission Institut de Zoologie";"Switzerland";"Non-profit organisations (libraries, museums, academies, foundations) and administration - NPO";"30207";"Ecology";"Biology and Medicine;General Biology";"30207";"01.04.1980";"31.03.1984";"298226.00";""
"7044";"3100-007044";"Biological studies of genus Xenopus:Taxonomy, developmental Biology and Genetics, and Immunology";"";"Fischberg Michael";"Project funding (Div. I-III)";"Project funding";"Station de Zoologie Expérimentale";"Switzerland";"University of Geneva - GE";"30403";"Immunology, Immunopathology";"Biology and Medicine;Experimental Medicine";"30403";"01.10.1981";"31.03.1986";"309988.00";""
